Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG02184,0.7903923664339014,1.6429701350474035,0.5152243136090644,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02185,0.7316108881946438,1.6661614680514376,0.3482482357831903,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02186,0.7093409850444967,1.708580755525417,-0.014317940818609941,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02187,0.7238907036385336,1.7738308200724682,0.0573014099969657,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02188,0.7114756016695294,1.9662281621587323,0.33388059907118883,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02190,0.7525044017597733,1.5952009586746458,-0.1412310374735107,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02215,0.4414715351306565,-1.4347188311903358,0.07192130289581045,EUR,GBR,British in England and Scotland
HG02219,0.5834929476344077,-1.3063926066744096,-0.4453983242639756,EUR,IBS,Iberian populations in Spain
HG02220,0.5552720061208855,-1.038457376039898,0.1158517069308796,EUR,IBS,Iberian populations in Spain
HG02221,0.5979585927714617,-1.5728561020942995,-0.471974582553444,EUR,IBS,Iberian populations in Spain
HG02223,0.5603221740595098,-1.2176135585684331,-0.006934740037079027,EUR,IBS,Iberian populations in Spain
HG02224,0.5107254562806587,-1.5275966193574533,-0.3760517425522609,EUR,IBS,Iberian populations in Spain
HG02230,0.5328492828153418,-1.322510935947926,0.3228019119555601,EUR,IBS,Iberian populations in Spain
HG02231,0.5391841030050993,-1.411283269235883,-0.4326632062616631,EUR,IBS,Iberian populations in Spain
HG02232,0.5647928985967829,-1.090315051304644,-0.09467989557512896,EUR,IBS,Iberian populations in Spain
HG02233,0.41724411428235897,-1.2370671158473991,-0.6834079782529401,EUR,IBS,Iberian populations in Spain
HG02235,0.4776957751143213,-1.6042098180313626,-0.2948311155231634,EUR,IBS,Iberian populations in Spain
HG02236,0.5428745942313472,-1.202580925629895,-0.11596036041181372,EUR,IBS,Iberian populations in Spain
HG02238,0.4134907581282673,-1.2715463530231383,-0.17134866479287927,EUR,IBS,Iberian populations in Spain
HG02239,0.4968240333240716,-1.2032057913953929,-0.4484904889636174,EUR,IBS,Iberian populations in Spain
HG02250,0.6988935986527838,1.8704846881956407,0.4168741768636629,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
HG02252,0.7340963840906458,-0.4388223879805001,-2.282232531683134,AMR,PEL,"Peruvian in Lima, Peru"
HG02253,0.9172566921569582,0.5954758888281453,-3.8121230605583616,AMR,PEL,"Peruvian in Lima, Peru"
HG02255,-1.5933226647585432,0.2397488352495275,-0.04751997221018423,AFR,ACB,African Caribbean in Barbados
HG02256,-1.678816734084509,0.15951676197049788,0.015472411077527275,AFR,ACB,African Caribbean in Barbados
HG02259,0.8143762468596882,0.4528733332586914,-3.114810068946364,AMR,PEL,"Peruvian in Lima, Peru"
HG02260,0.7630016765989236,0.5523447428159984,-3.7805011662738335,AMR,PEL,"Peruvian in Lima, Peru"
HG02262,0.6980015249734328,-0.1686315766486623,-2.487199183816993,AMR,PEL,"Peruvian in Lima, Peru"
HG02265,0.7688357494559663,0.34369609983027943,-2.8210887112941534,AMR,PEL,"Peruvian in Lima, Peru"
HG02266,0.6893030053522341,0.15431596432621744,-2.888194652807119,AMR,PEL,"Peruvian in Lima, Peru"
